ID,System,TM,TMA,AverageTip,RST,RSI,RSE,Time,CorrectSteps,TriedSteps,Score
1013319,1,0.33,0.42,0.0,0.8,0.2,0.0,0.14,1.0,0.19,52
1021330,0,0.2,0.7,0.2,0.8,0.0,0.2,0.61,1.0,0.67,64
1021412,1,0.63,0.0,0.0,1.0,0.0,0.0,0.17,1.0,0.26,100
1021435,1,0.44,0.0,0.0,1.0,0.0,0.0,0.11,1.0,0.19,100
1021520,1,0.32,0.0,0.15,0.6,0.4,0.0,0.51,1.0,1.0,100
1021521,0,0.02,0.0,0.0,0.8,0.2,0.0,0.27,1.0,0.7,100
1023317,0,0.01,0.0,0.0,0.8,0.2,0.0,0.23,1.0,0.26,100
1031430,0,0.49,0.0,0.0,1.0,0.0,0.0,0.21,1.0,0.56,100
1031444,1,0.08,0.37,0.3,0.2,0.8,0.0,0.17,1.0,0.26,56
1033362,0,0.11,0.37,1.0,0.0,0.0,1.0,0.42,1.0,0.19,52
1041225,1,0.11,0.37,0.0,1.0,0.0,0.0,0.37,1.0,1.0,100
1041416,0,0.36,0.07,0.0,1.0,0.0,0.0,0.2,1.0,0.63,100
1041449,0,0.92,0.0,0.0,1.0,0.0,0.0,0.24,1.0,0.26,100
1041463,1,0.12,0.0,0.0,0.8,0.2,0.0,0.26,1.0,0.81,100
1041563,1,0.35,1.0,0.2,0.6,0.4,0.0,0.69,1.0,0.33,100
1041639,1,0.26,0.0,0.05,0.8,0.2,0.0,0.2,1.0,0.19,100
1042701,1,0.25,1.0,0.5,0.0,0.8,0.2,0.38,1.0,0.7,100
1043302,0,0.25,0.0,0.0,1.0,0.0,0.0,0.23,1.0,0.52,100
1043330,1,0.28,0.09,0.0,1.0,0.0,0.0,0.34,1.0,0.41,100
1043363,1,0.11,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.19,100
1051402,0,0.15,0.0,0.0,1.0,0.0,0.0,0.3,1.0,0.67,100
1051403,0,0.16,0.37,0.0,0.8,0.2,0.0,0.81,1.0,1.0,100
1051410,0,0.16,0.07,0.0,1.0,0.0,0.0,0.14,1.0,0.26,100
1051415,0,0.17,0.0,0.7,0.0,0.4,0.6,0.38,1.0,0.41,100
1051417,1,0.29,1.0,0.15,1.0,0.0,0.0,0.83,0.2,1.0,84
1051419,0,0.11,0.14,0.0,0.8,0.2,0.0,0.21,1.0,0.19,100
1051421,0,0.2,0.0,0.0,1.0,0.0,0.0,0.45,1.0,0.85,100
1051425,1,0.04,0.0,0.95,0.0,0.2,0.8,0.33,1.0,1.0,100
1051438,1,0.12,0.0,0.0,1.0,0.0,0.0,0.16,1.0,0.19,100
1051439,1,0.32,0.0,0.05,0.8,0.2,0.0,0.23,1.0,0.19,100
1051443,0,0.74,1.0,0.0,1.0,0.0,0.0,0.19,1.0,0.22,100
1051444,0,0.73,0.0,0.0,1.0,0.0,0.0,0.18,1.0,0.19,100
1051445,1,0.48,0.0,0.4,0.6,0.0,0.4,0.21,1.0,0.26,72
1051448,0,0.02,0.0,0.1,0.8,0.2,0.0,0.2,1.0,0.52,100
1051450,1,0.02,1.0,0.0,1.0,0.0,0.0,0.58,1.0,1.0,96
1051453,0,0.36,0.0,0.55,0.0,0.8,0.2,0.48,1.0,0.85,88
1051455,1,0.29,0.0,0.2,0.8,0.0,0.2,0.24,1.0,0.26,100
1051502,1,0.23,0.81,0.0,1.0,0.0,0.0,0.24,1.0,0.19,100
1051503,1,0.58,1.0,0.0,1.0,0.0,0.0,0.45,1.0,0.19,100
1051507,1,0.05,0.14,0.1,0.6,0.4,0.0,0.19,1.0,0.26,100
1051515,1,0.43,0.07,0.15,0.8,0.2,0.0,0.18,1.0,0.67,100
1051528,0,0.33,1.0,0.0,1.0,0.0,0.0,0.15,1.0,0.33,100
1051533,0,0.47,0.0,0.0,1.0,0.0,0.0,0.16,1.0,0.19,100
1051535,0,1.0,0.77,0.2,0.6,0.4,0.0,0.53,1.0,1.0,100
1051539,0,0.2,0.0,0.0,1.0,0.0,0.0,0.43,1.0,0.37,56
1051540,1,0.28,0.0,0.0,1.0,0.0,0.0,0.13,1.0,0.19,100
1051542,1,0.06,0.0,0.15,0.8,0.2,0.0,0.32,1.0,0.59,100
1051544,0,0.82,1.0,0.0,0.8,0.2,0.0,0.44,1.0,0.59,100
